,state_code,gender,age_bucket,pct_cli,pct_cli_anosmia_ageusia,pct_hh_cli,pct_cmnty_cli,pct_hh_fever,pct_hh_sore_throat,pct_hh_cough,pct_hh_shortness_of_breath,pct_hh_difficulty_breathing,mean_hh_cli_ct,mean_cmnty_cli_ct,pct_self_shortness_of_breath,pct_self_difficulty_breathing,pct_self_tiredness_or_exhaustion,pct_self_nasal_congestion,pct_self_runny_nose,pct_self_muscle_joint_aches,pct_self_persistent_pain_pressure_in_chest,pct_self_nausea_vomiting,pct_self_diarrhea,pct_self_other,pct_self_none_of_above,pct_self_multiple_symptoms,pct_worked_outside_home,pct_avoid_contact_all_or_most_time,mean_outside_hh_contact_at_work_ct,mean_outside_hh_contact_shopping_ct,pct_contact_covid_positive,pct_diabetes,pct_cancer,pct_heart_disease,pct_asthma,pct_chronic_lung_disease,pct_kidney_disease,pct_autoimmune_disorder,pct_no_above_medical_conditions,test_condition
0,1,0,1,0.32386667,0.37902668,0.38804808,0.0,0.4619602,0.6380925,0.59853065,0.37010303,0.3595279,0.0,0.0,0.50448126,0.49327,0.5439359,0.65606046,0.7611144,0.48807856,0.46338,0.4247277,0.6106092,0.54790306,0.14197385,0.72133636,0.27416968,0.90453374,0.0,0.0,0.019958062,0.15918256,0.21303879,0.08686775,0.5551349,0.15172933,0.063137315,0.5093869,0.5302832,0
1,2,0,1,0.19908333,0.25962552,0.21464726,0.0,0.27904782,0.5203021,0.493171,0.28447405,0.22152199,0.0,0.0,0.3519625,0.23891,0.42722654,0.5041512,0.44308925,0.37336287,0.2901,0.27352738,0.35772145,0.2997205,0.4199833,0.5376765,0.3314598,0.89719945,0.0,0.0,0.081289746,0.18539838,0.1920932,0.101172686,0.41658148,0.092568174,0.08403871,0.3976891,0.6111296,0
2,3,1,2,0.0,0.32370782,0.13010162,0.0,0.13010162,0.35534322,0.34323752,0.4044417,0.2973735,0.0,0.0,0.5319125,0.21277,0.2891209,0.1861769,0.35873303,0.29689077,0.21277,0.07750537,0.17154267,0.08123587,0.7709675,0.19461142,0.23942937,0.8864531,0.0,0.0,0.0,0.5040833,0.4329463,0.5120577,0.23617561,0.4046165,0.568242,0.23509985,0.036675658,1
3,4,0,0,0.332,0.33675146,0.4367661,0.0,0.47036248,0.729317,0.6144506,0.35664293,0.27874395,0.0,0.0,0.38180625,0.30544,0.6019327,0.4795548,0.6538179,0.4665378,0.33201,0.39669958,0.5353593,0.23324578,0.18855123,0.72611225,0.3396601,0.84913015,0.0,0.0,0.10898216,0.07909988,0.031180317,0.0124450745,0.49350345,0.019667516,0.07366226,0.18793704,0.74643886,0
4,4,0,2,0.038483333,0.16396868,0.058357026,0.0,0.116701305,0.21863927,0.3893701,0.14330998,0.09980693,0.0,0.0,0.24538125,0.11547,0.2131187,0.4315865,0.50620127,0.45824102,0.11547,0.15143347,0.29791933,0.44090202,0.44219688,0.47897604,0.11869454,0.9843581,0.0,0.0,0.047416728,0.46944606,0.55655026,0.24684404,0.31832302,0.516307,0.22916667,0.45333445,0.21667065,0
5,5,0,1,0.17181666,0.29278237,0.23323686,0.0,0.259145,0.49445,0.575114,0.24018642,0.31160977,0.0,0.0,0.29639375,0.20619,0.44434467,0.5875252,0.5353631,0.47995132,0.30928,0.39057228,0.531957,0.23617814,0.31417656,0.60023975,0.32749653,0.8902948,0.0,0.0,0.16734385,0.2126802,0.14461085,0.05131084,0.31914067,0.17231381,0.101227604,0.41619402,0.5143698,0
6,6,0,0,0.3113,0.26231337,0.23378511,0.0,0.2877306,0.5402777,0.6636321,0.33199427,0.35965902,0.0,0.0,0.457975,0.34483,0.54773694,0.5489524,0.6976753,0.39629018,0.43103,0.47105753,0.5792031,0.21943918,0.15805474,0.6821026,0.4026463,0.7885546,0.0,0.0,0.087270975,0.08579749,0.020290306,0.026997782,0.6202788,0.035558157,0.035510097,0.19833575,0.7102469,0
7,7,0,0,0.15235,0.3152284,0.31817776,0.0,0.36363173,0.70608974,0.53597033,0.27971926,0.35064662,0.0,0.0,0.2628,0.27422,0.48107383,0.49939093,0.54865927,0.37009615,0.27422,0.3063495,0.44218397,0.3908913,0.19093706,0.61138505,0.2520865,0.8927439,0.0,0.0,0.26960915,0.08493689,0.051333908,0.0056924927,0.5151855,0.017992208,0.03369097,0.22301155,0.7410694,0
8,7,0,1,0.21751666,0.23164152,0.24362816,0.0,0.3648685,0.48674965,0.44952628,0.22524735,0.20915814,0.0,0.0,0.25489375,0.16313,0.36671537,0.48858812,0.53909266,0.34181097,0.39152,0.14262503,0.32442877,0.38617966,0.36628962,0.5345669,0.13485104,0.9742126,0.0,0.0,0.18610567,0.15732616,0.112600826,0.04494717,0.5127383,0.0473547,0.07882264,0.37910736,0.58641356,1
9,8,0,0,0.088183336,0.21466245,0.13492113,0.0,0.26984227,0.5040221,0.5994065,0.22832696,0.46258423,0.0,0.0,0.23148125,0.26455,0.5426009,0.69355613,0.7315108,0.3547874,0.26455,0.38548687,0.4550248,0.28282884,0.24178284,0.7663825,0.37601325,0.83919364,0.0,0.0,0.07236602,0.04105144,0.0,0.01650666,0.63849723,0.026086224,0.0,0.32336983,0.726351,0
